iter	Passed	Remaining
586	38197	26875
587	38255	26804
588	38324	26742
589	38387	26675
590	38448	26608
591	38522	26549
592	38588	26485
593	38643	26413
594	38702	26343
595	38763	26275
596	38816	26202
597	38869	26129
598	38935	26065
599	39000	26000
600	39053	25927
601	39117	25861
602	39184	25797
603	39243	25729
604	39307	25663
605	39374	25600
606	39432	25530
607	39496	25465
608	39582	25413
609	39640	25343
610	39693	25271
611	39756	25205
612	39820	25139
613	39879	25070
614	39950	25009
615	40001	24936
616	40062	24868
617	40131	24806
618	40193	24739
619	40258	24674
620	40317	24605
621	40384	24542
622	40449	24477
623	40509	24409
624	40557	24334
625	40623	24269
626	40681	24201
627	40749	24138
628	40815	24074
629	40884	24011
630	40937	23939
631	40996	23871
632	41059	23805
633	41117	23736
634	41176	23668
635	41231	23598
636	41281	23524
637	41347	23460
638	41405	23391
639	41471	23327
640	41522	23254
641	41584	23188
642	41635	23116
643	41691	23046
644	41744	22975
645	41801	22906
646	41851	22833
647	41907	22764
648	41961	22694
649	42016	22624
650	42072	22554
651	42118	22480
652	42166	22407
653	42219	22336
654	42277	22268
655	42338	22201
656	42394	22133
657	42462	22070
658	42519	22001
659	42581	21936
660	42629	21863
661	42681	21792
662	42731	21720
663	42790	21653
664	42839	21580
665	42886	21507
666	42949	21442
667	43007	21375
668	43054	21302
669	43114	21235
670	43169	21166
671	43226	21098
672	43293	21035
673	43346	20965
674	43419	20905
675	43486	20842
676	43540	20773
677	43596	20705
678	43644	20633
679	43699	20564
680	43756	20496
681	43808	20426
682	43858	20356
683	43915	20288
684	43974	20221
685	44042	20159
686	44104	20094
687	44170	20030
688	44231	19965
689	44300	19903
690	44355	19834
691	44418	19769
692	44479	19704
693	44545	19641
694	44612	19578
695	44661	19507
696	44716	19439
697	44781	19375
698	44848	19312
699	44912	19248
700	44968	19180
701	45034	19117
702	45092	19050
703	45151	18984
704	45211	18918
705	45267	18850
706	45316	18780
707	45373	18713
708	45452	18655
709	45520	18592
710	45579	18526
711	45637	18460
712	45697	18394
713	45755	18327
714	45813	18261
715	45881	18198
716	45941	18133
717	45993	18064
718	46047	17996
719	46114	17933
720	46170	17866
721	46225	17798
722	46278	17730
723	46344	17667
724	46402	17601
725	46461	17534
726	46516	17467
727	46570	17399
728	46632	17335
729	46694	17270
730	46751	17204
731	46801	17135
732	46858	17068
733	46913	17001
734	46981	16938
735	47039	16872
736	47091	16804
737	47153	16740
738	47217	16676
739	47279	16611
740	47352	16551
741	47428	16491
742	47500	16430
743	47558	16364
744	47621	16300
745	47683	16235
746	47737	16168
747	47794	16101
748	47848	16034
749	47911	15970
750	47962	15902
751	48037	15842
752	48090	15774
753	48153	15710
754	48216	15646
755	48277	15581
756	48333	15515
757	48387	15448
758	48461	15387
759	48513	15319
760	48576	15256
761	48639	15191
762	48692	15124
763	48748	15058
764	48795	14989
765	48849	14922
766	48902	14855
767	48949	14786
768	48999	14718
769	49052	14651
770	49103	14584
771	49152	14516
772	49207	14450
773	49258	14382
774	49307	14315
775	49359	14248
776	49407	14180
777	49465	14114
778	49528	14051
779	49578	13983
780	49631	13917
781	49685	13850
782	49749	13787
783	49810	13723
784	49869	13658
785	49924	13592
786	49973	13525
787	50029	13459
788	50083	13393
789	50153	13331
790	50204	13265
791	50252	13197
792	50301	13130
793	50357	13065
794	50407	12998
795	50472	12935
796	50529	12870
797	50592	12806
798	50651	12742
799	50701	12675
800	50770	12613
801	50825	12548
802	50881	12482
803	50934	12416
804	50998	12353
805	51061	12290
806	51121	12225
807	51183	12162
808	51242	12098
809	51304	12034
810	51363	11969
811	51419	11904
812	51477	11840
813	51535	11775
814	51597	11712
815	51653	11647
816	51708	11582
817	51757	11515
818	51818	11451
819	51876	11387
820	51938	11323
821	52001	11260
822	52058	11195
823	52114	11131
824	52179	11068
825	52242	11005
826	52301	10940
827	52370	10878
828	52423	10813
829	52505	10754
830	52593	10695
831	52668	10634
832	52745	10574
833	52813	10512
834	52879	10449
835	52953	10387
836	53031	10327
837	53094	10264
838	53171	10203
839	53238	10140
840	53301	10077
841	53363	10013
842	53420	9949
843	53477	9884
844	53536	9820
845	53602	9757
846	53652	9691
847	53717	9628
848	53772	9563
849	53835	9500
850	53890	9435
851	53944	9370
852	54003	9306
853	54049	9240
854	54105	9175
855	54156	9110
856	54220	9047
857	54289	8984
858	54353	8921
859	54413	8858
860	54464	8792
861	54527	8729
862	54591	8666
863	54658	8603
864	54726	8541
865	54800	8479
866	54868	8417
867	54938	8354
868	55025	8295
869	55093	8232
870	55159	8169
871	55221	8105
872	55272	8040
873	55330	7976
874	55382	7911
875	55461	7850
876	55526	7787
877	55594	7724
878	55680	7664
879	55752	7602
880	55816	7539
881	55863	7473
882	55924	7410
883	55986	7346
884	56049	7283
885	56110	7219
886	56182	7157
887	56242	7093
888	56312	7031
889	56365	6966
890	56430	6903
891	56501	6841
892	56558	6776
893	56630	6714
894	56683	6650
895	56742	6586
896	56830	6525
897	56902	6463
898	56984	6401
899	57075	6341
900	57140	6278
901	57204	6215
902	57285	6153
903	57337	6088
904	57394	6024
905	57447	5960
906	57499	5895
907	57563	5832
908	57628	5769
909	57707	5707
910	57767	5643
911	57831	5580
912	57889	5516
913	57953	5452
914	58010	5388
915	58075	5325
916	58138	5262
917	58196	5198
918	58251	5134
919	58322	5071
920	58374	5007
921	58437	4943
922	58499	4880
923	58561	4816
924	58614	4752
925	58677	4689
926	58729	4624
927	58814	4563
928	58902	4501
929	58961	4437
930	59030	4374
931	59080	4310
932	59159	4248
933	59229	4185
934	59314	4123
935	59412	4062
936	59490	3999
937	59560	3936
938	59637	3874
939	59723	3812
940	59784	3748
941	59857	3685
942	59928	3622
943	59987	3558
944	60053	3495
945	60117	3431
946	60173	3367
947	60231	3303
948	60300	3240
949	60355	3176
950	60421	3113
951	60485	3049
952	60552	2986
953	60604	2922
954	60668	2858
955	60722	2794
956	60786	2731
957	60855	2667
958	60913	2604
959	60961	2540
960	61015	2476
961	61085	2412
962	61146	2349
963	61201	2285
964	61269	2222
965	61327	2158
966	61393	2095
967	61456	2031
968	61530	1968
969	61589	1904
970	61670	1841
971	61739	1778
972	61813	1715
973	61903	1652
